"Algún contenido ha sido publicado.","Comentario creado","Curso visto","Entrega creada.","Finalización de actividad de curso actualizada","Formulario de entrega visto.","Ha comenzado el intento","Intento de cuestionario visualizado","Intento del cuestionario revisado","Intento enviado","Mensaje creado","Módulo de curso visto","Perfil de usuario visto","Resumen del intento de cuestionario visualizado","Se ha enviado una entrega","Se ha suscrito a esta discusión","Se ha visualizado el estado de la entrega.","Tema creado","Tema visto","Un fichero ha sido subido.","Usuario calificado","Lista de usuarios vista","Mensaje borrado","Se ha borrado la suscripción de esta discusión","Tema borrado","Informe de notas de usuario visto","Mensaje actualizado","Instancia del módulo del curso visualizada","Informe de resumen de notas visto","Lista de insignias vista","Envío actualizado.","Usuario matriculado en el curso","Elemento de calificación actualizado","Informe del usuario visualizado","Informe usuario del curso visto","Suscripción activada","Curso actualizado","Elemento de calificación creado",completo
"0","0","125","0","0","0","0","0","0","0","0","17","6","0","0","0","1","0","6","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"1","0","101","0","0","0","1","5","1","1","0","31","1","3","0","1","0","1","23","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","52","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0",0
"0","0","28","0","3","0","0","0","0","0","0","12","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","117","0","3","0","0","0","0","0","0","38","0","0","0","0","1","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","77","0","3","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","71","0","4","0","0","0","0","0","0","15","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","241","0","0","0","1","2","2","1","0","38","0","1","0","0","1","0","11","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"3","0","268","0","10","0","0","0","0","0","0","70","0","0","0","3","0","3","80","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","37","0","0","0","0","0","0","0","0","8","1","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"3","0","411","0","0","1","1","2","1","1","1","152","4","1","0","2","4","2","88","0","1","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",1
